Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-09-04 00:00:00+02:00,130.3638157792508,130.4318678287813,125.94008417043725,126.9949722290039,584498,0.0,0.0
2015-09-07 00:00:00+02:00,128.56031053030597,128.7985159544824,126.8929074000076,128.1859893798828,217077,0.0,0.0
2015-09-08 00:00:00+02:00,128.93463126966327,132.77987474100675,128.86657920711698,131.0784454345703,568550,0.0,0.0
2015-09-09 00:00:00+02:00,135.09382073166645,135.80841378772448,132.06526029869553,132.26943969726562,516951,0.0,0.0
2015-09-10 00:00:00+02:00,130.9763438296086,133.46044130754638,130.6700863500115,131.69094848632812,360871,0.0,0.0
2015-09-11 00:00:00+02:00,131.48676511509518,131.69094450397142,129.37698884989769,130.8061981201172,357669,0.0,0.0
2015-09-14 00:00:00+02:00,131.04439278448714,132.03121716883606,129.75129934195203,130.3297882080078,398479,0.0,0.0
2015-09-15 00:00:00+02:00,130.67009362800337,132.4736125778552,130.22772039805974,131.55484008789062,363913,0.0,0.0
2015-09-16 00:00:00+02:00,132.98403197781818,134.07295779589762,131.55483426105747,133.12014770507812,522564,0.0,0.0
2015-09-17 00:00:00+02:00,133.2562583986951,134.34518417564132,132.81388520505539,133.83474731445312,445278,0.0,0.0
2015-09-18 00:00:00+02:00,134.2090679339429,134.24309396109606,129.00267932525549,130.8061981201172,1130969,0.0,0.0
2015-09-21 00:00:00+02:00,129.03670541903392,129.24088480801558,123.42198125565208,126.41650390625,1106807,0.0,0.0
2015-09-22 00:00:00+02:00,126.72275640108485,126.96095019490625,118.828102919582,122.3670883178711,1259847,0.0,0.0
2015-09-23 00:00:00+02:00,121.92471550991978,124.64700661849668,117.26277834123255,123.25182342529297,903927,0.0,0.0
2015-09-24 00:00:00+02:00,123.42198776271366,124.85118549604279,116.58222174377093,119.33853912353516,1259523,0.0,0.0
2015-09-25 00:00:00+02:00,122.16293479251257,125.05537986021066,122.16293479251257,124.61300659179688,801417,0.0,0.0
2015-09-28 00:00:00+02:00,123.76225689664432,123.89837260966502,119.81493605797752,121.51636505126953,614722,0.0,0.0
2015-09-29 00:00:00+02:00,120.32536195688243,127.70957846214775,120.08715655449606,124.54491424560547,910924,0.0,0.0
2015-09-30 00:00:00+02:00,127.8797223783158,130.15965191347104,127.5734649203066,129.37698364257812,754753,0.0,0.0
2015-10-01 00:00:00+02:00,131.0444064395874,132.71180954980102,128.8325404309453,130.02354431152344,683713,0.0,0.0
2015-10-02 00:00:00+02:00,131.62289048469643,133.18821559124618,128.39017379563435,131.2485809326172,543508,0.0,0.0
2015-10-05 00:00:00+02:00,133.42640027656228,133.5284899714939,131.01036652934928,132.71180725097656,497325,0.0,0.0
2015-10-06 00:00:00+02:00,132.915994932979,136.0126077551785,131.55484911962307,134.7535400390625,470070,0.0,0.0
2015-10-07 00:00:00+02:00,135.22991122311788,137.91817625863803,134.8215756930733,135.84243774414062,699364,0.0,0.0
2015-10-08 00:00:00+02:00,135.6722813824636,137.54386370340762,135.12783015015333,136.11465454101562,463607,0.0,0.0
2015-10-09 00:00:00+02:00,137.47581433504763,139.72171799888517,137.06747877160345,139.34739685058594,815317,0.0,0.0
2015-10-12 00:00:00+02:00,139.85783577374858,141.96761230523174,138.73489544511145,139.04115295410156,425345,0.0,0.0
